IID	PRS	PRS_Risk_Group	PRS_Percentile	sample	pop	super_pop	gender
HG03585	0.7693170930000002	Intermediate	50.95846645367412	HG03585	BEB	SAS	male
HG03589	0.80256036836	Intermediate	53.594249201277954	HG03589	BEB	SAS	female
HG03593	0.8994089100000001	Intermediate	64.85623003194888	HG03593	BEB	SAS	male
HG03594	0.7357438599999999	Intermediate	48.402555910543136	HG03594	BEB	SAS	male
HG03595	0.6991038299999999	Intermediate	44.92811501597444	HG03595	BEB	SAS	female
HG03598	0.856031225	Intermediate	59.14536741214057	HG03598	BEB	SAS	female
HG03600	0.8550958099999998	Intermediate	58.94568690095847	HG03600	BEB	SAS	male
HG03603	0.63731572	Intermediate	39.3370607028754	HG03603	BEB	SAS	male
HG03604	1.06468164	High	82.74760383386581	HG03604	BEB	SAS	female
HG03607	0.99285366	Intermediate	75.75878594249201	HG03607	BEB	SAS	female
HG03611	0.60590247	Intermediate	37.14057507987221	HG03611	BEB	SAS	female
HG03615	0.5398934526000001	Intermediate	32.02875399361022	HG03615	BEB	SAS	male
HG03616	0.3905258599999999	Intermediate	23.123003194888177	HG03616	BEB	SAS	female
HG03619	0.3697912399999999	Intermediate	22.08466453674121	HG03619	PJL	SAS	female
HG03624	0.64180215	Intermediate	39.456869009584665	HG03624	PJL	SAS	male
HG03625	1.003469955	Intermediate	77.07667731629392	HG03625	PJL	SAS	female
HG03629	0.7087262089999999	Intermediate	46.24600638977636	HG03629	PJL	SAS	male
HG03631	0.4118610300000001	Intermediate	24.680511182108624	HG03631	PJL	SAS	female
HG03634	0.3321291999999999	Intermediate	20.36741214057508	HG03634	PJL	SAS	female
HG03636	1.09627391	High	85.8626198083067	HG03636	PJL	SAS	male
HG03640	0.77706488	Intermediate	51.4776357827476	HG03640	PJL	SAS	female
HG03642	0.38041693	Intermediate	22.603833865814696	HG03642	STU	SAS	female
HG03643	0.6601913999999999	Intermediate	41.29392971246006	HG03643	STU	SAS	female
HG03644	0.2944997099999999	Low	18.610223642172524	HG03644	STU	SAS	male
HG03645	0.973073757	Intermediate	73.96166134185303	HG03645	STU	SAS	female
HG03646	0.538057117	Intermediate	31.789137380191697	HG03646	STU	SAS	male
HG03649	0.572907421	Intermediate	34.504792332268366	HG03649	PJL	SAS	male
HG03652	0.9409066150000002	Intermediate	69.76837060702876	HG03652	PJL	SAS	male
HG03653	0.777947072	Intermediate	51.55750798722045	HG03653	PJL	SAS	female
HG03660	0.72220102	Intermediate	47.2444089456869	HG03660	PJL	SAS	male
HG03663	0.8506471000000001	Intermediate	58.346645367412144	HG03663	PJL	SAS	male
HG03667	-0.0323777099999999	Low	6.389776357827476	HG03667	PJL	SAS	male
HG03668	0.8818666199999999	Intermediate	62.460063897763575	HG03668	PJL	SAS	female
HG03672	0.8326199499999999	Intermediate	56.78913738019169	HG03672	STU	SAS	male
HG03673	1.1601492000000002	High	91.09424920127796	HG03673	STU	SAS	female
HG03679	0.97898652	Intermediate	74.6405750798722	HG03679	STU	SAS	male
HG03680	0.9068306700000002	Intermediate	65.85463258785943	HG03680	STU	SAS	male
HG03681	0.4008535	Intermediate	24.0814696485623	HG03681	STU	SAS	male
HG03684	1.03656128	High	80.27156549520767	HG03684	STU	SAS	female
HG03685	0.5682177789999999	Intermediate	33.98562300319489	HG03685	STU	SAS	male
HG03686	0.9413040299999998	Intermediate	69.92811501597444	HG03686	STU	SAS	male
HG03687	0.7779023919999999	Intermediate	51.51757188498402	HG03687	STU	SAS	male
HG03689	1.0515489340000002	High	81.70926517571885	HG03689	STU	SAS	female
HG03690	0.96825837	Intermediate	73.28274760383387	HG03690	STU	SAS	female
HG03691	0.8334108	Intermediate	56.86900958466453	HG03691	STU	SAS	male
HG03692	0.35644573	Intermediate	21.52555910543131	HG03692	STU	SAS	female
HG03693	0.4685923000000001	Intermediate	27.55591054313099	HG03693	STU	SAS	male
HG03694	0.6543011	Intermediate	40.615015974440894	HG03694	STU	SAS	male
HG03695	0.91757895	Intermediate	67.13258785942492	HG03695	STU	SAS	male
HG03696	0.80814064	Intermediate	54.27316293929712	HG03696	STU	SAS	male
HG03697	0.7465578199999997	Intermediate	49.36102236421725	HG03697	STU	SAS	male
HG03698	0.810881642	Intermediate	54.55271565495208	HG03698	STU	SAS	female
HG03702	0.3956615699999999	Intermediate	23.48242811501597	HG03702	PJL	SAS	male
HG03703	0.8087770999999999	Intermediate	54.3929712460064	HG03703	PJL	SAS	female
HG03705	0.5048007899999999	Intermediate	29.43290734824281	HG03705	PJL	SAS	male
HG03706	0.31373923	Low	19.329073482428115	HG03706	PJL	SAS	female
HG03708	0.6665899199999998	Intermediate	41.93290734824281	HG03708	PJL	SAS	male
HG03709	0.643215466	Intermediate	39.61661341853035	HG03709	PJL	SAS	female
HG03711	0.737192161	Intermediate	48.56230031948881	HG03711	STU	SAS	male
HG03713	0.446111629	Intermediate	26.63738019169329	HG03713	ITU	SAS	male
HG03714	0.37399048	Intermediate	22.2444089456869	HG03714	ITU	SAS	female
HG03716	1.11899404	High	87.61980830670927	HG03716	ITU	SAS	male
HG03717	1.3057563599999995	High	97.64376996805112	HG03717	ITU	SAS	female
HG03718	0.8376011900000001	Intermediate	57.18849840255591	HG03718	ITU	SAS	male
HG03720	1.04978512	High	81.54952076677317	HG03720	ITU	SAS	male
HG03722	0.90577728	Intermediate	65.73482428115017	HG03722	ITU	SAS	female
HG03727	0.9332712800000004	Intermediate	68.69009584664538	HG03727	ITU	SAS	male
HG03729	1.1133761999999998	High	87.10063897763578	HG03729	ITU	SAS	male
HG03730	0.86554245	Intermediate	60.343450479233226	HG03730	ITU	SAS	female
HG03731	1.13301336	High	88.9776357827476	HG03731	ITU	SAS	female
HG03733	0.9789315	Intermediate	74.60063897763578	HG03733	STU	SAS	female
HG03736	0.6961173799999999	Intermediate	44.4888178913738	HG03736	STU	SAS	female
HG03738	0.3799944500000001	Intermediate	22.563897763578275	HG03738	STU	SAS	male
HG03740	0.8198287799999999	Intermediate	55.23162939297125	HG03740	STU	SAS	male
HG03741	1.0938150999999998	High	85.50319488817891	HG03741	STU	SAS	female
HG03742	0.784140209	Intermediate	52.27635782747604	HG03742	ITU	SAS	male
HG03743	0.49721869	Intermediate	28.873801916932905	HG03743	STU	SAS	male
HG03744	0.6024693000000001	Intermediate	36.86102236421725	HG03744	STU	SAS	male
HG03745	0.6968626599999999	Intermediate	44.68849840255591	HG03745	STU	SAS	male
HG03746	0.08569612	Low	10.303514376996803	HG03746	STU	SAS	male
HG03750	0.8885425149999998	Intermediate	63.25878594249201	HG03750	STU	SAS	male
HG03752	0.6484496800000001	Intermediate	40.01597444089457	HG03752	STU	SAS	female
HG03753	1.0868310600000002	High	84.78434504792332	HG03753	STU	SAS	male
HG03754	0.75950715	Intermediate	50.19968051118211	HG03754	STU	SAS	female
HG03755	1.0147532399999997	Intermediate	78.35463258785943	HG03755	STU	SAS	male
HG03756	0.92336391	Intermediate	67.69169329073482	HG03756	STU	SAS	female
HG03757	0.1439808469999999	Low	12.53993610223642	HG03757	STU	SAS	female
HG03760	0.9165121	Intermediate	66.8929712460064	HG03760	STU	SAS	female
HG03762	0.760764765	Intermediate	50.319488817891376	HG03762	PJL	SAS	female
HG03765	0.6042834899999999	Intermediate	37.02076677316294	HG03765	PJL	SAS	female
HG03767	0.6110401799999999	Intermediate	37.65974440894569	HG03767	PJL	SAS	male
HG03770	0.617992001	Intermediate	38.09904153354633	HG03770	ITU	SAS	female
HG03771	0.5255076999999999	Intermediate	30.710862619808303	HG03771	ITU	SAS	male
HG03772	0.34068004	Intermediate	20.80670926517572	HG03772	ITU	SAS	female
HG03773	0.71493795	Intermediate	46.64536741214057	HG03773	ITU	SAS	male
HG03774	0.6098122500000001	Intermediate	37.61980830670926	HG03774	ITU	SAS	female
HG03775	0.8807141130000001	Intermediate	62.10063897763578	HG03775	ITU	SAS	male
HG03777	0.407233389	Intermediate	24.400958466453677	HG03777	ITU	SAS	male
HG03778	1.031475474	Intermediate	79.7923322683706	HG03778	ITU	SAS	male
HG03779	0.4795661581	Intermediate	27.915335463258785	HG03779	ITU	SAS	male
HG03780	1.3134274	High	97.8035143769968	HG03780	ITU	SAS	female
HG03781	0.8206478100000002	Intermediate	55.39137380191693	HG03781	ITU	SAS	female
HG03782	1.1336112500000002	High	89.05750798722045	HG03782	ITU	SAS	female
HG03784	0.95013921	Intermediate	70.88658146964856	HG03784	ITU	SAS	female
HG03785	1.1265798899999997	High	88.49840255591054	HG03785	ITU	SAS	male
HG03786	0.8150293599999999	Intermediate	54.912140575079874	HG03786	ITU	SAS	male
HG03787	0.7826292500000002	Intermediate	51.95686900958466	HG03787	ITU	SAS	female
HG03788	1.0563972700000002	High	82.10862619808307	HG03788	ITU	SAS	male
HG03789	0.69075254	Intermediate	44.009584664536746	HG03789	ITU	SAS	female
HG03790	0.94025605	Intermediate	69.6485623003195	HG03790	ITU	SAS	male
HG03792	1.15262818	High	90.53514376996804	HG03792	ITU	SAS	male
HG03793	0.6172327499999999	Intermediate	38.0591054313099	HG03793	BEB	SAS	female
HG03796	0.4650164750000001	Intermediate	27.51597444089457	HG03796	BEB	SAS	female
HG03800	0.7030252200000001	Intermediate	45.4073482428115	HG03800	BEB	SAS	male
HG03802	0.64542755	Intermediate	39.736421725239616	HG03802	BEB	SAS	female
HG03803	0.71563473	Intermediate	46.685303514377	HG03803	BEB	SAS	male
HG03805	0.27510598	Low	17.57188498402556	HG03805	BEB	SAS	female
HG03808	1.1212721939999997	High	87.77955271565496	HG03808	BEB	SAS	female
HG03809	0.43506686	Intermediate	25.838658146964853	HG03809	BEB	SAS	male
HG03812	0.6951689	Intermediate	44.36900958466454	HG03812	BEB	SAS	male
HG03814	0.92955252	Intermediate	68.25079872204472	HG03814	BEB	SAS	female
