IID	PRS
HG01920	-25.054900000000007
HG01921	-21.23399999999999
HG01923	-22.156299999999998
HG01924	-23.709199999999996
HG01926	-23.991300000000006
HG01927	-27.120900000000006
HG01932	-20.1476
HG01933	-21.845299999999998
HG01935	-21.9094
HG01936	-22.41710000000001
HG01938	-25.111300000000004
HG01939	-24.773500000000002
HG01941	-24.420899999999996
HG01942	-24.0393
HG01944	-24.551
HG01945	-25.018500000000003
HG01947	-21.767899999999997
HG01948	-22.2956
HG01950	-26.548199999999998
HG01951	-22.435199999999995
HG01953	-25.869999999999997
HG01954	-21.9797
HG01956	-22.6251
HG01958	-22.4719
HG01961	-22.197999999999997
HG01965	-25.171400000000002
HG01967	-25.298
HG01968	-22.850199999999997
HG01970	-24.741099999999996
HG01971	-21.915299999999995
HG01973	-24.2697
HG01974	-23.923799999999996
HG01976	-25.7484
HG01977	-21.9316
HG01979	-25.319400000000005
HG01980	-27.473100000000002
HG01982	-21.475699999999996
HG01985	-22.215500000000002
HG01986	-22.13340000000001
HG01988	-21.852200000000003
HG01989	-24.886799999999997
HG01990	-21.2131
HG01991	-25.6705
HG01992	-20.636700000000005
HG01997	-25.131899999999998
HG02002	-23.937799999999996
HG02003	-21.367299999999997
HG02006	-21.726699999999997
HG02008	-22.6636
HG02009	-22.230499999999996
HG02010	-17.459900000000005
HG02012	-22.61819999999999
HG02013	-22.250200000000003
HG02014	-24.0482
HG02016	-23.1352
HG02017	-20.2165
HG02019	-20.098200000000002
HG02020	-21.598100000000002
HG02023	-23.1195
HG02025	-20.432600000000004
HG02026	-22.869
HG02028	-20.002000000000002
HG02029	-24.1635
HG02031	-19.543000000000003
HG02032	-22.1182
HG02035	-19.559000000000005
HG02040	-21.571700000000003
HG02047	-24.400299999999994
HG02048	-21.1146
HG02049	-23.339100000000002
HG02050	-22.047100000000004
HG02051	-23.0167
HG02052	-24.1081
HG02053	-24.985300000000002
HG02054	-22.3205
HG02057	-21.7531
HG02058	-20.435599999999994
HG02060	-22.842100000000002
HG02061	-25.333599999999997
HG02064	-20.4644
HG02067	-22.9584
HG02069	-20.61659999999999
HG02070	-21.698100000000004
HG02072	-20.584300000000002
HG02073	-21.916700000000002
HG02075	-22.4448
HG02076	-20.806800000000003
HG02078	-21.355800000000006
HG02079	-22.1061
HG02081	-21.385599999999997
HG02082	-21.8185
HG02084	-19.4737
HG02085	-21.024499999999996
HG02086	-21.530900000000003
HG02087	-26.048600000000004
HG02088	-21.7396
HG02089	-21.4302
HG02090	-25.6393
HG02095	-22.612499999999994
HG02102	-23.345799999999997
HG02104	-26.032699999999995
HG02105	-26.199900000000007
HG02107	-25.009099999999997
HG02108	-21.269299999999998
HG02111	-20.5101
HG02113	-20.153599999999997
HG02116	-23.1581
HG02121	-22.93679999999999
HG02122	-21.627700000000004
HG02127	-20.3822
HG02128	-21.260499999999993
HG02130	-21.347899999999992
HG02131	-23.540500000000005
HG02133	-19.386199999999995
HG02134	-22.535000000000007
HG02136	-20.740900000000007
HG02137	-21.6937
