IID	PRS	PRS_Group
HG01357	-23.0608	Intermediate
HG01359	-20.2232	High
HG01360	-25.9825	Low
HG01362	-20.178500000000007	High
HG01363	-23.2567	Low
HG01365	-22.614300000000004	Intermediate
HG01366	-19.933300000000006	High
HG01369	-21.976299999999995	Intermediate
HG01372	-21.81779999999999	Intermediate
HG01374	-24.008399999999995	Low
HG01375	-17.627999999999997	High
HG01377	-23.324400000000004	Low
HG01378	-24.9697	Low
HG01383	-24.301100000000005	Low
HG01384	-26.7971	Low
HG01389	-21.8798	Intermediate
HG01390	-24.3448	Low
HG01392	-24.9174	Low
HG01393	-24.3185	Low
HG01395	-23.147100000000005	Intermediate
HG01396	-20.201	High
HG01398	-22.3665	Intermediate
HG01402	-20.9	Intermediate
HG01403	-22.112900000000007	Intermediate
HG01405	-19.9357	High
HG01412	-20.927200000000006	Intermediate
HG01413	-23.38570000000001	Low
HG01414	-21.9201	Intermediate
HG01431	-23.837	Low
HG01432	-20.663999999999994	Intermediate
HG01435	-19.7128	High
HG01437	-18.967700000000004	High
HG01438	-17.512900000000002	High
HG01440	-21.9853	Intermediate
HG01441	-19.551199999999994	High
HG01443	-20.8957	Intermediate
HG01444	-21.27960000000001	Intermediate
HG01447	-21.8361	Intermediate
HG01455	-20.406400000000005	Intermediate
HG01456	-22.812999999999995	Intermediate
HG01459	-23.7193	Low
HG01461	-18.6799	High
HG01462	-19.4995	High
HG01464	-21.368099999999995	Intermediate
HG01465	-20.499700000000004	Intermediate
HG01468	-21.427999999999997	Intermediate
HG01474	-21.7349	Intermediate
HG01479	-21.7828	Intermediate
HG01485	-23.7471	Low
HG01486	-19.254800000000003	High
HG01488	-22.911400000000004	Intermediate
HG01489	-22.678499999999996	Intermediate
