IID	PRS	Risk_Group
HG01796	-2.182361661999999	Intermediate
HG01797	-3.0538756000000005	Intermediate
HG01798	-2.3657821	Intermediate
HG01799	-2.592730799999999	Intermediate
HG01800	-1.7648264	Intermediate
HG01801	-2.1415406000000003	Intermediate
HG01802	-3.038780350000001	Intermediate
HG01804	-3.3636326	Intermediate
HG01805	-3.0286392	Intermediate
HG01806	-2.99740187	Intermediate
HG01807	-3.292480487	Intermediate
HG01808	-3.3172706	Intermediate
HG01809	-3.0772612	Intermediate
HG01810	-2.6613064	Intermediate
HG01811	-2.5492375400000005	Intermediate
HG01812	-2.6031656200000004	Intermediate
HG01813	-2.595196	Intermediate
HG01815	-2.1700027500000005	Intermediate
HG01816	-3.2384352	Intermediate
HG01817	-2.6889108000000004	Intermediate
HG01840	-2.9285613	Intermediate
HG01841	-3.07062682	Intermediate
HG01842	-2.818502399999999	Intermediate
HG01843	-2.4729992	Intermediate
HG01844	-3.472315300000001	Intermediate
HG01845	-4.3445866	Low
HG01846	-3.734160600000001	Low
HG01847	-2.730727699999999	Intermediate
HG01848	-3.3026170000000006	Intermediate
HG01849	-2.204921500000001	Intermediate
HG01850	-3.4198351	Intermediate
HG01851	-4.1477643	Low
HG01852	-2.3324471999999994	Intermediate
HG01853	-2.1822308000000006	Intermediate
HG01855	-4.11573145	Low
HG01857	-3.81558322	Low
HG01858	-1.1931328200000009	High
HG01859	-3.2024555209999988	Intermediate
HG01860	-3.13020142	Intermediate
HG01861	-3.726621199999999	Low
HG01862	-2.3673625999999994	Intermediate
HG01863	-2.3960056	Intermediate
HG01864	-2.5981197	Intermediate
HG01865	-3.429828900000001	Intermediate
HG01866	-2.9582364	Intermediate
HG01867	-2.6353901500000005	Intermediate
HG01868	-2.5190035	Intermediate
HG01869	-2.97565187	Intermediate
HG01870	-3.2672481	Intermediate
HG01871	-3.5239172	Intermediate
HG01872	-3.8934023200000007	Low
HG01873	-2.9445721	Intermediate
HG01874	-1.9202513000000008	Intermediate
HG01878	-3.2222745	Intermediate
HG01879	-1.764478199999999	Intermediate
HG01880	-1.5109530000000009	Intermediate
HG01882	0.8916364000000008	High
HG01883	-1.3553409999999997	Intermediate
HG01885	-1.8341832	Intermediate
HG01886	-0.6646260700000004	High
HG01889	-0.7504847999999996	High
HG01890	-0.5012497999999994	High
HG01892	-3.225484600000001	Intermediate
HG01893	-2.9738930000000003	Intermediate
HG01894	-0.2285267000000004	High
HG01896	-0.2617595000000015	High
HG01912	-0.6150407999999997	High
HG01914	-0.5863817000000001	High
HG01915	-1.4662434	Intermediate
HG01917	-3.391218	Intermediate
HG01918	-4.2088732	Low
HG01920	-4.180332400000001	Low
HG01921	-3.4710983000000004	Intermediate
HG01923	-4.765693100000002	Low
HG01924	-3.275647	Intermediate
HG01926	-4.347202599999999	Low
HG01927	-4.168288800000001	Low
HG01932	-1.888264100000001	Intermediate
HG01933	-3.0618667000000004	Intermediate
HG01935	-3.7421521	Low
HG01936	-3.0182639	Intermediate
HG01938	-3.9893996	Low
HG01939	-4.4072666	Low
HG01941	-2.6509359999999997	Intermediate
HG01942	-3.0853233	Intermediate
HG01944	-3.143996699999999	Intermediate
HG01945	-4.0522625	Low
HG01947	-3.0667918	Intermediate
HG01948	-3.416816599999999	Intermediate
HG01950	-4.225495700000001	Low
HG01951	-3.8264488	Low
HG01953	-2.528713	Intermediate
HG01954	-3.91067581	Low
HG01956	-1.1252428199999995	High
HG01958	-2.7088588	Intermediate
HG01961	-4.0143851	Low
HG01965	-3.7353286	Low
HG01967	-2.9977708500000007	Intermediate
HG01968	-3.6160379	Low
HG01970	-2.9075999	Intermediate
HG01971	-3.895097899999999	Low
HG01973	-3.9669016	Low
HG01974	-3.1674999500000003	Intermediate
HG01976	-3.8619047	Low
HG01977	-3.1768452	Intermediate
HG01979	-4.150093909999999	Low
HG01980	-4.1836002	Low
HG01982	-3.8949735000000008	Low
HG01985	-0.7993195	High
HG01986	0.8201073999999999	High
HG01988	-3.273236850000001	Intermediate
HG01989	-1.08615838	High
HG01990	-1.74077925	Intermediate
HG01991	-4.314163400000001	Low
HG01992	-3.191001110000001	Intermediate
HG01997	-3.768505199999999	Low
HG02002	-2.8279505000000005	Intermediate
HG02003	-2.9420714	Intermediate
HG02006	-2.5256394	Intermediate
HG02008	-5.558169800000001	Low
HG02009	-0.8000329500000004	High
HG02010	-0.4943606000000006	High
HG02012	-1.0264738000000004	High
HG02013	-1.3071509000000006	Intermediate
HG02014	0.3834726000000003	High
HG02016	-2.2394822	Intermediate
HG02017	-2.8448439500000005	Intermediate
HG02019	-4.320900669999999	Low
HG02020	-2.506871	Intermediate
HG02023	-2.7828206000000004	Intermediate
HG02025	-3.4572139	Intermediate
HG02026	-4.0638266000000005	Low
HG02028	-2.751667800000001	Intermediate
HG02029	-1.5011654000000003	Intermediate
HG02031	-3.63478669	Low
HG02032	-3.780086100000001	Low
HG02035	-3.0510545	Intermediate
HG02040	-2.368474799999999	Intermediate
